Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Weekly_Sales_Standardized,Holiday Season
1,05-02-2010,1643690.9,0,"42,31","2,572",21109635.82,"8,106","1,057,337,552",0
1,12-02-2010,1641957.44,1,"38,51","2,548",21124216.98,"8,106","1,054,266,038",0
1,19-02-2010,1611968.17,0,"39,93","2,514",21128914.29,"8,106","1,001,128,115",0
1,26-02-2010,1409727.59,0,"46,63","2,561",21131964.29,"8,106","642,778,468",0
1,05-03-2010,1554806.68,0,"46,5","2,625",21135014.29,"8,106","899,843,794",0
1,12-03-2010,1439541.59,0,"57,79","2,667",21138064.29,"8,106","69,560,583",0
1,19-03-2010,1472515.79,0,"54,58","2,72",2112156.35,"8,106","754,032,744",0
1,26-03-2010,1404429.92,0,"51,45","2,732",21101804.24,"8,106","633,391,537",0
1,02-04-2010,1594968.28,0,"62,27","2,719",21082044.99,"7,808","971,006,046",0
1,09-04-2010,1545418.53,0,"65,86","2,77",21062285.74,"7,808","883,208,951",0
1,16-04-2010,1466058.28,0,"66,32","2,808",21048.87,"7,808","742,590,696",0
1,23-04-2010,1391256.12,0,"64,84","2,795",21043912.28,"7,808","61,004,891",0
1,30-04-2010,1425100.71,0,"67,41","2,78",21038954.56,"7,808","670,018,066",0
1,07-05-2010,1603955.12,0,"72,55","2,835",21033996.84,"7,808","986,929,809",0
1,14-05-2010,1494251.5,0,"74,78","2,854",21033742.61,"7,808","792,546,201",0
1,21-05-2010,1399662.07,0,"76,44","2,826",21061709.34,"7,808","624,943,394",0
1,28-05-2010,1432069.95,0,"80,44","2,759",21089676.06,"7,808","682,366,847",0
1,04-06-2010,1615524.71,0,"80,69","2,705",21117642.78,"7,808","100,742,994",0
1,11-06-2010,1542561.09,0,"80,43","2,668",21145609.51,"7,808","87,814,586",0
1,18-06-2010,1503284.06,0,"84,11","2,637",21145377.19,"7,808","808,550,975",0
1,25-06-2010,1422711.6,0,"84,34","2,653",21133865.26,"7,808","665,784,807",0
1,02-07-2010,1492418.14,0,"80,91","2,669",21122353.33,"7,787","789,297,675",0
1,09-07-2010,1546074.18,0,"80,48","2,642",2111084.14,"7,787","884,370,696",0
1,16-07-2010,1448938.92,0,"83,15","2,623",21110038.54,"7,787","712,256,939",0
1,23-07-2010,1385065.2,0,"83,36","2,608",21123514.43,"7,787","599,079,232",0
1,30-07-2010,1371986.6,0,"81,84","2,64",21136990.32,"7,787","575,905,289",0
1,06-08-2010,1605491.78,0,"87,16","2,627",21150466.21,"7,787","989,652,613",0
1,13-08-2010,1508237.76,0,87,"2,692",21163942.11,"7,787","817,328,425",0
1,20-08-2010,1513080.49,0,"86,65","2,664",21160336.33,"7,787","825,909,248",0
1,27-08-2010,1449142.92,0,"85,22","2,619",21156730.56,"7,787","712,618,406",0
1,03-09-2010,1540163.53,0,"81,21","2,577",21153124.79,"7,787","873,897,628",0
1,10-09-2010,1507460.69,1,"78,69","2,565",21149519.02,"7,787","815,951,537",0
1,17-09-2010,1430378.67,0,"82,11","2,582",21152245.96,"7,787","679,370,072",0
1,24-09-2010,1351791.03,0,"80,94","2,624",21159722.46,"7,787","540,120,802",0
1,01-10-2010,1453329.5,0,"71,89","2,603",21167198.95,"7,838","720,036,598",0
1,08-10-2010,1508239.93,0,"63,93","2,633",21174675.44,"7,838","81,733,227",0
1,15-10-2010,1459409.1,0,"67,18","2,72",21181374.36,"7,838","730,809,028",0
1,22-10-2010,1345454,0,"69,86","2,725",21186129.37,"7,838","528,892,232",0
1,29-10-2010,1384209.22,0,"69,64","2,716",21190884.38,"7,838","597,562,523",0
1,05-11-2010,1551659.28,0,"58,74","2,689",21195639.39,"7,838","894,266,923",0
1,12-11-2010,1494479.49,0,"59,61","2,728",2120039.44,"7,838","792,950,176",0
1,19-11-2010,1483784.18,0,"51,41","2,771",21188967.37,"7,838","77,399,918",0
1,26-11-2010,1955624.11,1,"64,52","2,735",21174843.33,"7,838","1,610,051,334",1
1,03-12-2010,1548033.78,0,"49,27","2,708",2116071.93,"7,838","887,842,907",1
1,10-12-2010,1682614.26,0,"46,33","2,843",21146595.26,"7,838","1,126,305,769",1
1,17-12-2010,1891034.93,0,"49,84","2,869",21140531.24,"7,838","1,495,605,905",1
1,24-12-2010,2387950.2,0,"52,33","2,886",21140512.22,"7,838","2,376,089",1
1,31-12-2010,1367320.01,1,"48,43","2,943",21140493.21,"7,838","567,636,568",1
1,07-01-2011,1444732.28,0,"48,27","2,976",21140474.19,"7,742","704,803,202",0
1,14-01-2011,1391013.96,0,"35,4","2,983",21145741.09,"7,742","609,619,827",0
1,21-01-2011,1327405.42,0,"44,04","3,016",21182723.43,"7,742","496,911,992",0
1,28-01-2011,1316899.31,0,"43,83","3,01",21219705.77,"7,742","478,296,238",0
1,04-02-2011,1606629.58,0,"42,27","2,989",21256688.12,"7,742","991,668,679",0
1,11-02-2011,1649614.93,1,"36,39","3,022",21293670.46,"7,742","1,067,834,328",0
1,18-02-2011,1686842.78,0,"57,36","3,045",21324788.53,"7,742","1,133,798,275",0
1,25-02-2011,1456800.28,0,"62,9","3,065",2135356.09,"7,742","726,186,465",0
